text,label
The sum of angles in a triangle is 180 degrees,Math
The human heart pumps blood,Science
World War II started in 1939,History
Shakespeare wrote many plays,English
Photosynthesis occurs in the leaves of plants,Science
Pythagoras discovered the relationship between triangle sides,Math
The Declaration of Independence was signed in 1776,History
Macbeth is a tragedy written by Shakespeare,English
Einstein developed the theory of relativity,Science
Area of a circle is pi times radius squared,Math
